datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,RFC,WEST,CE,CE,11340.541,True
1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,RFC,WEST,CE,CE,10968.681,True
1/1/2015 7:00:00 AM,1/1/2015 2:00:00 AM,RFC,WEST,CE,CE,10650.298,True
1/1/2015 8:00:00 AM,1/1/2015 3:00:00 AM,RFC,WEST,CE,CE,10423.594,True
1/1/2015 9:00:00 AM,1/1/2015 4:00:00 AM,RFC,WEST,CE,CE,10298.352,True
1/1/2015 10:00:00 AM,1/1/2015 5:00:00 AM,RFC,WEST,CE,CE,10294.049,True
1/1/2015 11:00:00 AM,1/1/2015 6:00:00 AM,RFC,WEST,CE,CE,10441.678,True
1/1/2015 12:00:00 PM,1/1/2015 7:00:00 AM,RFC,WEST,CE,CE,10633.288,True
1/1/2015 1:00:00 PM,1/1/2015 8:00:00 AM,RFC,WEST,CE,CE,10531.194,True
1/1/2015 2:00:00 PM,1/1/2015 9:00:00 AM,RFC,WEST,CE,CE,10432.652,True
1/1/2015 3:00:00 PM,1/1/2015 10:00:00 AM,RFC,WEST,CE,CE,10541.927,True
1/1/2015 4:00:00 PM,1/1/2015 11:00:00 AM,RFC,WEST,CE,CE,10634.272,True
1/1/2015 5:00:00 PM,1/1/2015 12:00:00 PM,RFC,WEST,CE,CE,10622.563,True
1/1/2015 6:00:00 PM,1/1/2015 1:00:00 PM,RFC,WEST,CE,CE,10590.546,True
1/1/2015 7:00:00 PM,1/1/2015 2:00:00 PM,RFC,WEST,CE,CE,10509.663,True
1/1/2015 8:00:00 PM,1/1/2015 3:00:00 PM,RFC,WEST,CE,CE,10501.575,True
1/1/2015 9:00:00 PM,1/1/2015 4:00:00 PM,RFC,WEST,CE,CE,10584.789,True
1/1/2015 10:00:00 PM,1/1/2015 5:00:00 PM,RFC,WEST,CE,CE,11403.121,True
1/1/2015 11:00:00 PM,1/1/2015 6:00:00 PM,RFC,WEST,CE,CE,12140.326,True
1/2/2015 12:00:00 AM,1/1/2015 7:00:00 PM,RFC,WEST,CE,CE,12075.000,True
1/2/2015 1:00:00 AM,1/1/2015 8:00:00 PM,RFC,WEST,CE,CE,11917.970,True
1/2/2015 2:00:00 AM,1/1/2015 9:00:00 PM,RFC,WEST,CE,CE,11710.831,True
1/2/2015 3:00:00 AM,1/1/2015 10:00:00 PM,RFC,WEST,CE,CE,11396.771,True
1/2/2015 4:00:00 AM,1/1/2015 11:00:00 PM,RFC,WEST,CE,CE,10824.829,True
1/2/2015 5:00:00 AM,1/2/2015 12:00:00 AM,RFC,WEST,CE,CE,10303.214,True
1/2/2015 6:00:00 AM,1/2/2015 1:00:00 AM,RFC,WEST,CE,CE,9883.904,True
1/2/2015 7:00:00 AM,1/2/2015 2:00:00 AM,RFC,WEST,CE,CE,9620.079,True
1/2/2015 8:00:00 AM,1/2/2015 3:00:00 AM,RFC,WEST,CE,CE,9512.575,True
1/2/2015 9:00:00 AM,1/2/2015 4:00:00 AM,RFC,WEST,CE,CE,9533.443,True
1/2/2015 10:00:00 AM,1/2/2015 5:00:00 AM,RFC,WEST,CE,CE,9790.953,True
1/2/2015 11:00:00 AM,1/2/2015 6:00:00 AM,RFC,WEST,CE,CE,10345.886,True
1/2/2015 12:00:00 PM,1/2/2015 7:00:00 AM,RFC,WEST,CE,CE,11115.070,True
1/2/2015 1:00:00 PM,1/2/2015 8:00:00 AM,RFC,WEST,CE,CE,11542.970,True
1/2/2015 2:00:00 PM,1/2/2015 9:00:00 AM,RFC,WEST,CE,CE,11598.494,True
1/2/2015 3:00:00 PM,1/2/2015 10:00:00 AM,RFC,WEST,CE,CE,11660.726,True
1/2/2015 4:00:00 PM,1/2/2015 11:00:00 AM,RFC,WEST,CE,CE,11701.182,True
1/2/2015 5:00:00 PM,1/2/2015 12:00:00 PM,RFC,WEST,CE,CE,11628.388,True
1/2/2015 6:00:00 PM,1/2/2015 1:00:00 PM,RFC,WEST,CE,CE,11469.212,True
1/2/2015 7:00:00 PM,1/2/2015 2:00:00 PM,RFC,WEST,CE,CE,11445.434,True
1/2/2015 8:00:00 PM,1/2/2015 3:00:00 PM,RFC,WEST,CE,CE,11394.213,True
1/2/2015 9:00:00 PM,1/2/2015 4:00:00 PM,RFC,WEST,CE,CE,11477.698,True
1/2/2015 10:00:00 PM,1/2/2015 5:00:00 PM,RFC,WEST,CE,CE,12211.457,True
1/2/2015 11:00:00 PM,1/2/2015 6:00:00 PM,RFC,WEST,CE,CE,12804.230,True
1/3/2015 12:00:00 AM,1/2/2015 7:00:00 PM,RFC,WEST,CE,CE,12665.849,True
1/3/2015 1:00:00 AM,1/2/2015 8:00:00 PM,RFC,WEST,CE,CE,12435.712,True
1/3/2015 2:00:00 AM,1/2/2015 9:00:00 PM,RFC,WEST,CE,CE,12185.177,True
1/3/2015 3:00:00 AM,1/2/2015 10:00:00 PM,RFC,WEST,CE,CE,11822.628,True
1/3/2015 4:00:00 AM,1/2/2015 11:00:00 PM,RFC,WEST,CE,CE,11194.288,True
1/3/2015 5:00:00 AM,1/3/2015 12:00:00 AM,RFC,WEST,CE,CE,10520.171,True
1/3/2015 6:00:00 AM,1/3/2015 1:00:00 AM,RFC,WEST,CE,CE,9962.878,True
1/3/2015 7:00:00 AM,1/3/2015 2:00:00 AM,RFC,WEST,CE,CE,9621.813,True
1/3/2015 8:00:00 AM,1/3/2015 3:00:00 AM,RFC,WEST,CE,CE,9474.776,True
1/3/2015 9:00:00 AM,1/3/2015 4:00:00 AM,RFC,WEST,CE,CE,9422.609,True
1/3/2015 10:00:00 AM,1/3/2015 5:00:00 AM,RFC,WEST,CE,CE,9493.927,True
1/3/2015 11:00:00 AM,1/3/2015 6:00:00 AM,RFC,WEST,CE,CE,9733.397,True
1/3/2015 12:00:00 PM,1/3/2015 7:00:00 AM,RFC,WEST,CE,CE,10135.364,True
1/3/2015 1:00:00 PM,1/3/2015 8:00:00 AM,RFC,WEST,CE,CE,10431.590,True
1/3/2015 2:00:00 PM,1/3/2015 9:00:00 AM,RFC,WEST,CE,CE,10696.447,True
1/3/2015 3:00:00 PM,1/3/2015 10:00:00 AM,RFC,WEST,CE,CE,11014.341,True
1/3/2015 4:00:00 PM,1/3/2015 11:00:00 AM,RFC,WEST,CE,CE,11244.048,True
1/3/2015 5:00:00 PM,1/3/2015 12:00:00 PM,RFC,WEST,CE,CE,11249.458,True
1/3/2015 6:00:00 PM,1/3/2015 1:00:00 PM,RFC,WEST,CE,CE,11327.936,True
1/3/2015 7:00:00 PM,1/3/2015 2:00:00 PM,RFC,WEST,CE,CE,11199.623,True
1/3/2015 8:00:00 PM,1/3/2015 3:00:00 PM,RFC,WEST,CE,CE,11072.999,True
1/3/2015 9:00:00 PM,1/3/2015 4:00:00 PM,RFC,WEST,CE,CE,11033.023,True
1/3/2015 10:00:00 PM,1/3/2015 5:00:00 PM,RFC,WEST,CE,CE,11516.800,True
1/3/2015 11:00:00 PM,1/3/2015 6:00:00 PM,RFC,WEST,CE,CE,12008.700,True
1/4/2015 12:00:00 AM,1/3/2015 7:00:00 PM,RFC,WEST,CE,CE,12009.706,True
1/4/2015 1:00:00 AM,1/3/2015 8:00:00 PM,RFC,WEST,CE,CE,11840.357,True
1/4/2015 2:00:00 AM,1/3/2015 9:00:00 PM,RFC,WEST,CE,CE,11647.878,True
1/4/2015 3:00:00 AM,1/3/2015 10:00:00 PM,RFC,WEST,CE,CE,11301.532,True
1/4/2015 4:00:00 AM,1/3/2015 11:00:00 PM,RFC,WEST,CE,CE,10822.722,True
1/4/2015 5:00:00 AM,1/4/2015 12:00:00 AM,RFC,WEST,CE,CE,10216.903,True
1/4/2015 6:00:00 AM,1/4/2015 1:00:00 AM,RFC,WEST,CE,CE,9751.911,True
1/4/2015 7:00:00 AM,1/4/2015 2:00:00 AM,RFC,WEST,CE,CE,9383.206,True
1/4/2015 8:00:00 AM,1/4/2015 3:00:00 AM,RFC,WEST,CE,CE,9250.577,True
1/4/2015 9:00:00 AM,1/4/2015 4:00:00 AM,RFC,WEST,CE,CE,9195.609,True
1/4/2015 10:00:00 AM,1/4/2015 5:00:00 AM,RFC,WEST,CE,CE,9250.063,True
1/4/2015 11:00:00 AM,1/4/2015 6:00:00 AM,RFC,WEST,CE,CE,9404.038,True
1/4/2015 12:00:00 PM,1/4/2015 7:00:00 AM,RFC,WEST,CE,CE,9675.783,True
1/4/2015 1:00:00 PM,1/4/2015 8:00:00 AM,RFC,WEST,CE,CE,9804.928,True
1/4/2015 2:00:00 PM,1/4/2015 9:00:00 AM,RFC,WEST,CE,CE,10077.153,True
1/4/2015 3:00:00 PM,1/4/2015 10:00:00 AM,RFC,WEST,CE,CE,10323.452,True
1/4/2015 4:00:00 PM,1/4/2015 11:00:00 AM,RFC,WEST,CE,CE,10657.009,True
1/4/2015 5:00:00 PM,1/4/2015 12:00:00 PM,RFC,WEST,CE,CE,10856.827,True
1/4/2015 6:00:00 PM,1/4/2015 1:00:00 PM,RFC,WEST,CE,CE,11022.302,True
1/4/2015 7:00:00 PM,1/4/2015 2:00:00 PM,RFC,WEST,CE,CE,11060.175,True
1/4/2015 8:00:00 PM,1/4/2015 3:00:00 PM,RFC,WEST,CE,CE,11117.828,True
1/4/2015 9:00:00 PM,1/4/2015 4:00:00 PM,RFC,WEST,CE,CE,11252.320,True
1/4/2015 10:00:00 PM,1/4/2015 5:00:00 PM,RFC,WEST,CE,CE,12006.874,True
1/4/2015 11:00:00 PM,1/4/2015 6:00:00 PM,RFC,WEST,CE,CE,12975.149,True
1/5/2015 12:00:00 AM,1/4/2015 7:00:00 PM,RFC,WEST,CE,CE,13076.756,True
1/5/2015 1:00:00 AM,1/4/2015 8:00:00 PM,RFC,WEST,CE,CE,13104.867,True
1/5/2015 2:00:00 AM,1/4/2015 9:00:00 PM,RFC,WEST,CE,CE,12989.650,True
1/5/2015 3:00:00 AM,1/4/2015 10:00:00 PM,RFC,WEST,CE,CE,12625.835,True
1/5/2015 4:00:00 AM,1/4/2015 11:00:00 PM,RFC,WEST,CE,CE,12083.263,True
1/5/2015 5:00:00 AM,1/5/2015 12:00:00 AM,RFC,WEST,CE,CE,11600.460,True
1/5/2015 6:00:00 AM,1/5/2015 1:00:00 AM,RFC,WEST,CE,CE,11325.100,True
1/5/2015 7:00:00 AM,1/5/2015 2:00:00 AM,RFC,WEST,CE,CE,11209.356,True
1/5/2015 8:00:00 AM,1/5/2015 3:00:00 AM,RFC,WEST,CE,CE,11181.217,True
1/5/2015 9:00:00 AM,1/5/2015 4:00:00 AM,RFC,WEST,CE,CE,11216.693,True
1/5/2015 10:00:00 AM,1/5/2015 5:00:00 AM,RFC,WEST,CE,CE,11569.743,True
1/5/2015 11:00:00 AM,1/5/2015 6:00:00 AM,RFC,WEST,CE,CE,12312.435,True
1/5/2015 12:00:00 PM,1/5/2015 7:00:00 AM,RFC,WEST,CE,CE,13464.996,True
1/5/2015 1:00:00 PM,1/5/2015 8:00:00 AM,RFC,WEST,CE,CE,14010.493,True
1/5/2015 2:00:00 PM,1/5/2015 9:00:00 AM,RFC,WEST,CE,CE,14072.648,True
1/5/2015 3:00:00 PM,1/5/2015 10:00:00 AM,RFC,WEST,CE,CE,14078.561,True
1/5/2015 4:00:00 PM,1/5/2015 11:00:00 AM,RFC,WEST,CE,CE,14133.382,True
1/5/2015 5:00:00 PM,1/5/2015 12:00:00 PM,RFC,WEST,CE,CE,14175.516,True
1/5/2015 6:00:00 PM,1/5/2015 1:00:00 PM,RFC,WEST,CE,CE,14122.489,True
1/5/2015 7:00:00 PM,1/5/2015 2:00:00 PM,RFC,WEST,CE,CE,14233.504,True
1/5/2015 8:00:00 PM,1/5/2015 3:00:00 PM,RFC,WEST,CE,CE,14187.029,True
1/5/2015 9:00:00 PM,1/5/2015 4:00:00 PM,RFC,WEST,CE,CE,14247.544,True
1/5/2015 10:00:00 PM,1/5/2015 5:00:00 PM,RFC,WEST,CE,CE,14864.664,True
1/5/2015 11:00:00 PM,1/5/2015 6:00:00 PM,RFC,WEST,CE,CE,15447.126,True
1/6/2015 12:00:00 AM,1/5/2015 7:00:00 PM,RFC,WEST,CE,CE,15321.701,True
1/6/2015 1:00:00 AM,1/5/2015 8:00:00 PM,RFC,WEST,CE,CE,15122.240,True
1/6/2015 2:00:00 AM,1/5/2015 9:00:00 PM,RFC,WEST,CE,CE,14826.909,True
1/6/2015 3:00:00 AM,1/5/2015 10:00:00 PM,RFC,WEST,CE,CE,14197.985,True
1/6/2015 4:00:00 AM,1/5/2015 11:00:00 PM,RFC,WEST,CE,CE,13261.636,True
1/6/2015 5:00:00 AM,1/6/2015 12:00:00 AM,RFC,WEST,CE,CE,12413.673,True
1/6/2015 6:00:00 AM,1/6/2015 1:00:00 AM,RFC,WEST,CE,CE,11904.243,True
1/6/2015 7:00:00 AM,1/6/2015 2:00:00 AM,RFC,WEST,CE,CE,11597.730,True
1/6/2015 8:00:00 AM,1/6/2015 3:00:00 AM,RFC,WEST,CE,CE,11471.758,True
1/6/2015 9:00:00 AM,1/6/2015 4:00:00 AM,RFC,WEST,CE,CE,11491.601,True
1/6/2015 10:00:00 AM,1/6/2015 5:00:00 AM,RFC,WEST,CE,CE,11712.412,True
1/6/2015 11:00:00 AM,1/6/2015 6:00:00 AM,RFC,WEST,CE,CE,12421.083,True
1/6/2015 12:00:00 PM,1/6/2015 7:00:00 AM,RFC,WEST,CE,CE,13478.923,True
1/6/2015 1:00:00 PM,1/6/2015 8:00:00 AM,RFC,WEST,CE,CE,13896.649,True
1/6/2015 2:00:00 PM,1/6/2015 9:00:00 AM,RFC,WEST,CE,CE,13858.616,True
1/6/2015 3:00:00 PM,1/6/2015 10:00:00 AM,RFC,WEST,CE,CE,13837.594,True
1/6/2015 4:00:00 PM,1/6/2015 11:00:00 AM,RFC,WEST,CE,CE,13874.545,True
1/6/2015 5:00:00 PM,1/6/2015 12:00:00 PM,RFC,WEST,CE,CE,13748.332,True
1/6/2015 6:00:00 PM,1/6/2015 1:00:00 PM,RFC,WEST,CE,CE,13712.956,True
1/6/2015 7:00:00 PM,1/6/2015 2:00:00 PM,RFC,WEST,CE,CE,13784.868,True
1/6/2015 8:00:00 PM,1/6/2015 3:00:00 PM,RFC,WEST,CE,CE,13783.425,True
1/6/2015 9:00:00 PM,1/6/2015 4:00:00 PM,RFC,WEST,CE,CE,13919.805,True
1/6/2015 10:00:00 PM,1/6/2015 5:00:00 PM,RFC,WEST,CE,CE,14644.261,True
1/6/2015 11:00:00 PM,1/6/2015 6:00:00 PM,RFC,WEST,CE,CE,15346.864,True
1/7/2015 12:00:00 AM,1/6/2015 7:00:00 PM,RFC,WEST,CE,CE,15297.071,True
1/7/2015 1:00:00 AM,1/6/2015 8:00:00 PM,RFC,WEST,CE,CE,15099.361,True
1/7/2015 2:00:00 AM,1/6/2015 9:00:00 PM,RFC,WEST,CE,CE,14804.415,True
1/7/2015 3:00:00 AM,1/6/2015 10:00:00 PM,RFC,WEST,CE,CE,14300.773,True
1/7/2015 4:00:00 AM,1/6/2015 11:00:00 PM,RFC,WEST,CE,CE,13549.018,True
1/7/2015 5:00:00 AM,1/7/2015 12:00:00 AM,RFC,WEST,CE,CE,12832.148,True
1/7/2015 6:00:00 AM,1/7/2015 1:00:00 AM,RFC,WEST,CE,CE,12396.363,True
1/7/2015 7:00:00 AM,1/7/2015 2:00:00 AM,RFC,WEST,CE,CE,12112.815,True
1/7/2015 8:00:00 AM,1/7/2015 3:00:00 AM,RFC,WEST,CE,CE,12026.559,True
1/7/2015 9:00:00 AM,1/7/2015 4:00:00 AM,RFC,WEST,CE,CE,12005.743,True
1/7/2015 10:00:00 AM,1/7/2015 5:00:00 AM,RFC,WEST,CE,CE,12249.202,True
1/7/2015 11:00:00 AM,1/7/2015 6:00:00 AM,RFC,WEST,CE,CE,12866.426,True
1/7/2015 12:00:00 PM,1/7/2015 7:00:00 AM,RFC,WEST,CE,CE,13792.181,True
1/7/2015 1:00:00 PM,1/7/2015 8:00:00 AM,RFC,WEST,CE,CE,14244.200,True
1/7/2015 2:00:00 PM,1/7/2015 9:00:00 AM,RFC,WEST,CE,CE,14353.191,True
1/7/2015 3:00:00 PM,1/7/2015 10:00:00 AM,RFC,WEST,CE,CE,14517.676,True
1/7/2015 4:00:00 PM,1/7/2015 11:00:00 AM,RFC,WEST,CE,CE,14620.238,True
1/7/2015 5:00:00 PM,1/7/2015 12:00:00 PM,RFC,WEST,CE,CE,14642.657,True
1/7/2015 6:00:00 PM,1/7/2015 1:00:00 PM,RFC,WEST,CE,CE,14545.054,True
1/7/2015 7:00:00 PM,1/7/2015 2:00:00 PM,RFC,WEST,CE,CE,14539.926,True
1/7/2015 8:00:00 PM,1/7/2015 3:00:00 PM,RFC,WEST,CE,CE,14444.701,True
1/7/2015 9:00:00 PM,1/7/2015 4:00:00 PM,RFC,WEST,CE,CE,14449.970,True
1/7/2015 10:00:00 PM,1/7/2015 5:00:00 PM,RFC,WEST,CE,CE,14969.057,True
1/7/2015 11:00:00 PM,1/7/2015 6:00:00 PM,RFC,WEST,CE,CE,15816.344,True
1/8/2015 12:00:00 AM,1/7/2015 7:00:00 PM,RFC,WEST,CE,CE,15778.136,True
1/8/2015 1:00:00 AM,1/7/2015 8:00:00 PM,RFC,WEST,CE,CE,15578.334,True
1/8/2015 2:00:00 AM,1/7/2015 9:00:00 PM,RFC,WEST,CE,CE,15314.166,True
1/8/2015 3:00:00 AM,1/7/2015 10:00:00 PM,RFC,WEST,CE,CE,14824.290,True
1/8/2015 4:00:00 AM,1/7/2015 11:00:00 PM,RFC,WEST,CE,CE,14071.536,True
1/8/2015 5:00:00 AM,1/8/2015 12:00:00 AM,RFC,WEST,CE,CE,13356.241,True
1/8/2015 6:00:00 AM,1/8/2015 1:00:00 AM,RFC,WEST,CE,CE,12965.053,True
1/8/2015 7:00:00 AM,1/8/2015 2:00:00 AM,RFC,WEST,CE,CE,12729.882,True
1/8/2015 8:00:00 AM,1/8/2015 3:00:00 AM,RFC,WEST,CE,CE,12596.114,True
1/8/2015 9:00:00 AM,1/8/2015 4:00:00 AM,RFC,WEST,CE,CE,12590.231,True
1/8/2015 10:00:00 AM,1/8/2015 5:00:00 AM,RFC,WEST,CE,CE,12792.059,True
1/8/2015 11:00:00 AM,1/8/2015 6:00:00 AM,RFC,WEST,CE,CE,13293.004,True
1/8/2015 12:00:00 PM,1/8/2015 7:00:00 AM,RFC,WEST,CE,CE,14158.686,True
1/8/2015 1:00:00 PM,1/8/2015 8:00:00 AM,RFC,WEST,CE,CE,14661.540,True
1/8/2015 2:00:00 PM,1/8/2015 9:00:00 AM,RFC,WEST,CE,CE,14893.065,True
1/8/2015 3:00:00 PM,1/8/2015 10:00:00 AM,RFC,WEST,CE,CE,15112.943,True
1/8/2015 4:00:00 PM,1/8/2015 11:00:00 AM,RFC,WEST,CE,CE,15373.033,True
1/8/2015 5:00:00 PM,1/8/2015 12:00:00 PM,RFC,WEST,CE,CE,15398.064,True
1/8/2015 6:00:00 PM,1/8/2015 1:00:00 PM,RFC,WEST,CE,CE,15381.365,True
1/8/2015 7:00:00 PM,1/8/2015 2:00:00 PM,RFC,WEST,CE,CE,15411.718,True
1/8/2015 8:00:00 PM,1/8/2015 3:00:00 PM,RFC,WEST,CE,CE,15280.854,True
1/8/2015 9:00:00 PM,1/8/2015 4:00:00 PM,RFC,WEST,CE,CE,15144.512,True
1/8/2015 10:00:00 PM,1/8/2015 5:00:00 PM,RFC,WEST,CE,CE,15472.795,True
1/8/2015 11:00:00 PM,1/8/2015 6:00:00 PM,RFC,WEST,CE,CE,15950.875,True
1/9/2015 12:00:00 AM,1/8/2015 7:00:00 PM,RFC,WEST,CE,CE,15774.792,True
1/9/2015 1:00:00 AM,1/8/2015 8:00:00 PM,RFC,WEST,CE,CE,15494.091,True
1/9/2015 2:00:00 AM,1/8/2015 9:00:00 PM,RFC,WEST,CE,CE,15100.229,True
1/9/2015 3:00:00 AM,1/8/2015 10:00:00 PM,RFC,WEST,CE,CE,14469.873,True
1/9/2015 4:00:00 AM,1/8/2015 11:00:00 PM,RFC,WEST,CE,CE,13667.176,True
1/9/2015 5:00:00 AM,1/9/2015 12:00:00 AM,RFC,WEST,CE,CE,12879.775,True
1/9/2015 6:00:00 AM,1/9/2015 1:00:00 AM,RFC,WEST,CE,CE,12504.941,True
1/9/2015 7:00:00 AM,1/9/2015 2:00:00 AM,RFC,WEST,CE,CE,12247.187,True
1/9/2015 8:00:00 AM,1/9/2015 3:00:00 AM,RFC,WEST,CE,CE,12058.575,True
1/9/2015 9:00:00 AM,1/9/2015 4:00:00 AM,RFC,WEST,CE,CE,12024.961,True
1/9/2015 10:00:00 AM,1/9/2015 5:00:00 AM,RFC,WEST,CE,CE,12229.122,True
1/9/2015 11:00:00 AM,1/9/2015 6:00:00 AM,RFC,WEST,CE,CE,12813.634,True
1/9/2015 12:00:00 PM,1/9/2015 7:00:00 AM,RFC,WEST,CE,CE,13813.362,True
1/9/2015 1:00:00 PM,1/9/2015 8:00:00 AM,RFC,WEST,CE,CE,14297.715,True
1/9/2015 2:00:00 PM,1/9/2015 9:00:00 AM,RFC,WEST,CE,CE,14311.655,True
1/9/2015 3:00:00 PM,1/9/2015 10:00:00 AM,RFC,WEST,CE,CE,14382.186,True
1/9/2015 4:00:00 PM,1/9/2015 11:00:00 AM,RFC,WEST,CE,CE,14451.794,True
1/9/2015 5:00:00 PM,1/9/2015 12:00:00 PM,RFC,WEST,CE,CE,14473.820,True
1/9/2015 6:00:00 PM,1/9/2015 1:00:00 PM,RFC,WEST,CE,CE,14450.873,True
1/9/2015 7:00:00 PM,1/9/2015 2:00:00 PM,RFC,WEST,CE,CE,14454.935,True
1/9/2015 8:00:00 PM,1/9/2015 3:00:00 PM,RFC,WEST,CE,CE,14364.493,True
1/9/2015 9:00:00 PM,1/9/2015 4:00:00 PM,RFC,WEST,CE,CE,14358.256,True
1/9/2015 10:00:00 PM,1/9/2015 5:00:00 PM,RFC,WEST,CE,CE,14798.051,True
1/9/2015 11:00:00 PM,1/9/2015 6:00:00 PM,RFC,WEST,CE,CE,15509.066,True
1/10/2015 12:00:00 AM,1/9/2015 7:00:00 PM,RFC,WEST,CE,CE,15501.584,True
1/10/2015 1:00:00 AM,1/9/2015 8:00:00 PM,RFC,WEST,CE,CE,15315.771,True
1/10/2015 2:00:00 AM,1/9/2015 9:00:00 PM,RFC,WEST,CE,CE,14998.459,True
1/10/2015 3:00:00 AM,1/9/2015 10:00:00 PM,RFC,WEST,CE,CE,14593.384,True
1/10/2015 4:00:00 AM,1/9/2015 11:00:00 PM,RFC,WEST,CE,CE,13816.567,True
1/10/2015 5:00:00 AM,1/10/2015 12:00:00 AM,RFC,WEST,CE,CE,13131.789,True
1/10/2015 6:00:00 AM,1/10/2015 1:00:00 AM,RFC,WEST,CE,CE,12665.410,True
1/10/2015 7:00:00 AM,1/10/2015 2:00:00 AM,RFC,WEST,CE,CE,12315.145,True
1/10/2015 8:00:00 AM,1/10/2015 3:00:00 AM,RFC,WEST,CE,CE,12145.185,True
1/10/2015 9:00:00 AM,1/10/2015 4:00:00 AM,RFC,WEST,CE,CE,12109.985,True
1/10/2015 10:00:00 AM,1/10/2015 5:00:00 AM,RFC,WEST,CE,CE,12183.527,True
1/10/2015 11:00:00 AM,1/10/2015 6:00:00 AM,RFC,WEST,CE,CE,12441.574,True
1/10/2015 12:00:00 PM,1/10/2015 7:00:00 AM,RFC,WEST,CE,CE,12865.266,True
1/10/2015 1:00:00 PM,1/10/2015 8:00:00 AM,RFC,WEST,CE,CE,13056.109,True
1/10/2015 2:00:00 PM,1/10/2015 9:00:00 AM,RFC,WEST,CE,CE,13174.754,True
1/10/2015 3:00:00 PM,1/10/2015 10:00:00 AM,RFC,WEST,CE,CE,13249.923,True
1/10/2015 4:00:00 PM,1/10/2015 11:00:00 AM,RFC,WEST,CE,CE,13222.597,True
1/10/2015 5:00:00 PM,1/10/2015 12:00:00 PM,RFC,WEST,CE,CE,13109.904,True
1/10/2015 6:00:00 PM,1/10/2015 1:00:00 PM,RFC,WEST,CE,CE,12845.791,True
1/10/2015 7:00:00 PM,1/10/2015 2:00:00 PM,RFC,WEST,CE,CE,12615.255,True
1/10/2015 8:00:00 PM,1/10/2015 3:00:00 PM,RFC,WEST,CE,CE,12815.489,True
1/10/2015 9:00:00 PM,1/10/2015 4:00:00 PM,RFC,WEST,CE,CE,12992.871,True
1/10/2015 10:00:00 PM,1/10/2015 5:00:00 PM,RFC,WEST,CE,CE,13504.728,True
1/10/2015 11:00:00 PM,1/10/2015 6:00:00 PM,RFC,WEST,CE,CE,13923.680,True
1/11/2015 12:00:00 AM,1/10/2015 7:00:00 PM,RFC,WEST,CE,CE,13799.520,True
1/11/2015 1:00:00 AM,1/10/2015 8:00:00 PM,RFC,WEST,CE,CE,13567.863,True
1/11/2015 2:00:00 AM,1/10/2015 9:00:00 PM,RFC,WEST,CE,CE,13265.965,True
1/11/2015 3:00:00 AM,1/10/2015 10:00:00 PM,RFC,WEST,CE,CE,12890.359,True
1/11/2015 4:00:00 AM,1/10/2015 11:00:00 PM,RFC,WEST,CE,CE,12270.253,True
1/11/2015 5:00:00 AM,1/11/2015 12:00:00 AM,RFC,WEST,CE,CE,11634.453,True
1/11/2015 6:00:00 AM,1/11/2015 1:00:00 AM,RFC,WEST,CE,CE,11168.896,True
1/11/2015 7:00:00 AM,1/11/2015 2:00:00 AM,RFC,WEST,CE,CE,10882.064,True
1/11/2015 8:00:00 AM,1/11/2015 3:00:00 AM,RFC,WEST,CE,CE,10718.618,True
1/11/2015 9:00:00 AM,1/11/2015 4:00:00 AM,RFC,WEST,CE,CE,10574.188,True
1/11/2015 10:00:00 AM,1/11/2015 5:00:00 AM,RFC,WEST,CE,CE,10589.091,True
1/11/2015 11:00:00 AM,1/11/2015 6:00:00 AM,RFC,WEST,CE,CE,10695.404,True
1/11/2015 12:00:00 PM,1/11/2015 7:00:00 AM,RFC,WEST,CE,CE,10945.973,True
1/11/2015 1:00:00 PM,1/11/2015 8:00:00 AM,RFC,WEST,CE,CE,10980.857,True
1/11/2015 2:00:00 PM,1/11/2015 9:00:00 AM,RFC,WEST,CE,CE,11141.578,True
1/11/2015 3:00:00 PM,1/11/2015 10:00:00 AM,RFC,WEST,CE,CE,11240.613,True
1/11/2015 4:00:00 PM,1/11/2015 11:00:00 AM,RFC,WEST,CE,CE,11293.022,True
1/11/2015 5:00:00 PM,1/11/2015 12:00:00 PM,RFC,WEST,CE,CE,11219.642,True
1/11/2015 6:00:00 PM,1/11/2015 1:00:00 PM,RFC,WEST,CE,CE,11239.275,True
1/11/2015 7:00:00 PM,1/11/2015 2:00:00 PM,RFC,WEST,CE,CE,11166.465,True
1/11/2015 8:00:00 PM,1/11/2015 3:00:00 PM,RFC,WEST,CE,CE,11259.293,True
1/11/2015 9:00:00 PM,1/11/2015 4:00:00 PM,RFC,WEST,CE,CE,11482.713,True
1/11/2015 10:00:00 PM,1/11/2015 5:00:00 PM,RFC,WEST,CE,CE,12139.679,True
1/11/2015 11:00:00 PM,1/11/2015 6:00:00 PM,RFC,WEST,CE,CE,12788.340,True
1/12/2015 12:00:00 AM,1/11/2015 7:00:00 PM,RFC,WEST,CE,CE,12766.586,True
1/12/2015 1:00:00 AM,1/11/2015 8:00:00 PM,RFC,WEST,CE,CE,12610.106,True
1/12/2015 2:00:00 AM,1/11/2015 9:00:00 PM,RFC,WEST,CE,CE,12306.183,True
1/12/2015 3:00:00 AM,1/11/2015 10:00:00 PM,RFC,WEST,CE,CE,11919.837,True
